,Unnamed: 0,transTime,cc_num,merchant,transType,amount,firstName,lastName,gender,street,city,state,zip,latitude,longitude,cityPopulation,job,birthDate,trans_num,unix_time,merchantLat,merchantLong,is_fraud
119106,119106,2020/8/2 7:55,377895991033232,"fraud_Bahringer, Schoen and Corkery",shopping_pos,1.07,Kimberly,Myers,F,6881 King Isle Suite 228,Higganum,CT,6441,41.4682,-72.5751,5438,"Librarian, academic",1964/11/17,cf581d75ccc9ba838a05dec8bfa78b5b,1375430128,41.240083,-71.837788,0
179292,179292,2020/8/23 14:05,30364087349027,"fraud_Romaguera, Wehner and Tromp",kids_pets,94.99,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982/2/5,b1bfaf13224da41f422db483fd810dd7,1377266716,35.156537,-95.806648,0
540729,540729,2020/12/28 16:22,30328384440870,fraud_Berge-Hills,kids_pets,31.28,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,1954/7/14,cde9fc0136873645778d0ad8817db655,1388247749,39.888665,-93.106804,0
374360,374360,2020/11/14 10:44,30364087349027,"fraud_Connelly, Reichert and Fritsch",gas_transport,73.06,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982/2/5,90b8429191e5c83df1afba4e5db4d61e,1384425890,36.734101,-96.737345,0
314574,314574,2020/10/19 1:50,4198470814557,fraud_Kuphal-Predovic,misc_net,9.99,Christie,Williamson,F,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1971/8/20,e4893795b6b3e41667129b9ed13b9650,1382147409,40.922072,-94.899388,0
377296,377296,2020/11/15 17:04,213126662687660,"fraud_Kihn, Brakus and Goyette",personal_care,28.5,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971/1/28,b76319f767c5b27731982851c12366ba,1384535044,27.480792,-99.711391,0
399943,399943,2020/11/24 22:26,639023984367,"fraud_Roob, Conn and Tremblay",shopping_pos,9.09,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991/6/5,d21bc0886809d98c17b626db3c3c88d1,1385331976,44.774938,-74.50883,0
1481,1481,2020/6/21 20:46,4990494243023,fraud_Fadel Inc,health_fitness,1.64,Martin,Ford,M,56812 Francis Courts,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,1960/12/13,2ee3bc727806dde7f17d20394297acd1,1371847580,40.213281,-78.469302,0
465665,465665,2020/12/12 10:15,4452366298769043,"fraud_Stroman, Hudson and Erdman",gas_transport,55.9,Linda,Davis,F,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.701,1563,Financial adviser,1978/3/4,044fe6aac6c192d55144776bafdd0bd6,1386843323,32.600435,-97.304885,0
430957,430957,2020/12/4 16:31,180094419304907,fraud_Weimann-Lockman,kids_pets,50.61,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972/9/22,c397d59c441a8e74ffabd529da3cfb90,1386174701,34.302440999999995,-118.085049,0
