,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
121907,121907,2020-08-03 01:57:13,180064817343047,fraud_Mohr-Bayer,shopping_net,1.66,Patricia,Gonzalez,F,8973 Mark Drive,Stephensport,KY,40170,37.9048,-86.524,344,Chartered public finance accountant,1967-03-30,e6dc151288df25bce19bef0431bae644,1375495033,37.309349,-87.326123,0
60895,60895,2020-07-12 16:38:29,2720830304681674,"fraud_Moore, Williamson and Emmerich",home,69.17,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.34899999999999,151785,Pathologist,1974-03-28,b2bd1e5a0819f232cd4027b24f67afe1,1373647109,37.396436,-87.780681,0
97845,97845,2020-07-25 18:26:32,2252055259910912,"fraud_Schumm, McLaughlin and Carter",food_dining,58.14,Jason,Hernandez,M,220 Frank Gardens,Hewitt,WI,54441,44.6437,-90.1031,828,Arts development officer,1991-08-19,bad9cb521dc60cf455dedb9a96e53fff,1374776792,44.945064,-89.776629,0
431229,431229,2020-12-04 18:04:18,2348245054386329,"fraud_Schiller, Blanda and Johnson",home,9.08,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,1946-02-02,827e842c031cf4e2d4fe661437e43756,1386180258,43.050122,-80.051546,0
14371,14371,2020-06-26 05:47:02,4208110975550360171,fraud_Mohr Inc,shopping_pos,138.88,David,Bonilla,M,82073 Jessica Camp,West Green,GA,31567,31.6143,-82.7243,782,Audiological scientist,1982-01-16,0e93bd7ffc2dc5d19f63977f890f9622,1372225622,32.198817,-82.049947,0
283137,283137,2020-10-05 06:17:25,4518350514020532,fraud_Kiehn-Emmerich,grocery_pos,40.04,Christopher,Gregory,M,9579 Porter Tunnel,Wauchula,FL,33873,27.5517,-81.8074,14742,Teaching laboratory technician,1993-02-26,f657c1b887374120af85f4727b8fdd17,1380953845,26.717438,-82.616905,0
307120,307120,2020-10-15 15:35:55,3589255887819806,fraud_Goyette Inc,shopping_net,9.56,David,Miller,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1984-02-14,accb63320ff08542b24186c4c1ff22eb,1381851355,39.309462,-78.03359499999999,0
232003,232003,2020-09-13 03:15:41,370612217861404,fraud_Dooley-Thompson,misc_net,131.79,Amanda,Fitzgerald,F,298 Kayla Lights,Bristol,PA,19007,40.1159,-74.8536,21125,"Administrator, charities/voluntary organisations",1985-05-25,d64e0f25107e69c1a305f9cef0e175e2,1379042141,39.570963,-75.850367,0
4438,4438,2020-06-22 15:58:12,180067784565096,fraud_Breitenberg-Hermiston,kids_pets,28.93,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1942-01-06,35446dc0989638ab1d49324c336d8080,1371916692,43.688108,-88.985571,0
457185,457185,2020-12-10 00:17:55,5456776410929288,"fraud_Zboncak, Rowe and Murazik",shopping_net,5.34,Taylor,Khan,F,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1954-05-25,c0ab403dbd2e15ef7e2b35abf0eb97ee,1386634675,40.787695,-80.543876,0
